HomeTeam,AwayTeam,FTHG,FTAG
Blackburn,Sunderland,0,0
Charlton,Chelsea,2,3
Everton,Tottenham,2,2
Fulham,Bolton,4,1
Leeds,Man City,3,0
Man United,West Brom,1,0
Southampton,Middlesboro,0,0
Arsenal,Birmingham,2,0
Aston Villa,Liverpool,0,1
Newcastle,West Ham,4,0
Chelsea,Man United,2,2
Birmingham,Blackburn,0,1
Bolton,Charlton,1,2
Liverpool,Southampton,3,0
Man City,Newcastle,1,0
Middlesboro,Fulham,2,2
Sunderland,Everton,0,1
Tottenham,Aston Villa,1,0
West Brom,Leeds,1,3
West Ham,Arsenal,2,2
Arsenal,West Brom,5,2
Charlton,Tottenham,0,1
Aston Villa,Man City,1,0
Blackburn,Liverpool,2,2
Everton,Birmingham,1,1
Leeds,Sunderland,0,1
Southampton,Chelsea,1,1
Birmingham,Leeds,2,1
Man City,Everton,3,1
Middlesboro,Blackburn,1,0
Sunderland,Man United,1,1
Tottenham,Southampton,2,1
West Brom,Fulham,1,0
West Ham,Charlton,0,2
Bolton,Aston Villa,1,0
Chelsea,Arsenal,1,1
Liverpool,Newcastle,2,2
Man United,Middlesboro,1,0
Arsenal,Man City,2,1
Middlesboro,Sunderland,3,0
Aston Villa,Charlton,2,0
Blackburn,Chelsea,2,3
Fulham,Tottenham,3,2
Liverpool,Birmingham,2,2
Man United,Bolton,0,1
Newcastle,Leeds,0,2
Southampton,Everton,1,0
West Ham,West Brom,0,1
Bolton,Liverpool,2,3
Charlton,Arsenal,0,3
Chelsea,Newcastle,3,0
Everton,Middlesboro,2,1
Leeds,Man United,1,0
Sunderland,Fulham,0,3
West Brom,Southampton,1,0
Man City,Blackburn,2,2
Tottenham,West Ham,3,2
Birmingham,Aston Villa,3,0
Arsenal,Bolton,2,1
Liverpool,West Brom,2,0
Man United,Tottenham,1,0
Middlesboro,Birmingham,1,0
Newcastle,Sunderland,2,0
Southampton,Charlton,0,0
West Ham,Man City,0,0
Aston Villa,Everton,3,2
Blackburn,Leeds,1,0
Fulham,Chelsea,0,0
Birmingham,Newcastle,0,2
Bolton,Southampton,1,1
Charlton,Man United,1,3
Chelsea,West Ham,2,3
Everton,Fulham,2,0
Leeds,Arsenal,1,4
Man City,Liverpool,0,3
Sunderland,Aston Villa,1,0
Tottenham,Middlesboro,0,3
West Brom,Blackburn,0,2
Middlesboro,Bolton,2,0
Newcastle,West Brom,2,1
Southampton,Man City,2,0
West Ham,Birmingham,1,2
Arsenal,Sunderland,3,1
Aston Villa,Leeds,0,0
Blackburn,Tottenham,1,2
Fulham,Charlton,1,0
Liverpool,Chelsea,1,0
Man United,Everton,3,0
Blackburn,Newcastle,5,2
Everton,Arsenal,2,1
Fulham,Man United,1,1
Leeds,Liverpool,0,1
Man City,Chelsea,0,3
Sunderland,West Ham,0,1
West Brom,Birmingham,1,1
Charlton,Middlesboro,1,0
Tottenham,Bolton,3,1
Aston Villa,Southampton,0,1
Fulham,West Ham,0,1
Arsenal,Blackburn,1,2
Birmingham,Man City,0,2
Chelsea,West Brom,2,0
Liverpool,Tottenham,2,1
Man United,Aston Villa,1,1
Middlesboro,Leeds,2,2
Newcastle,Charlton,2,1
Southampton,Fulham,4,2
West Ham,Everton,0,1
Bolton,Sunderland,1,1
Birmingham,Bolton,3,1
Liverpool,West Ham,2,0
Man United,Southampton,2,1
West Brom,Man City,1,2
Blackburn,Aston Villa,0,0
Charlton,Sunderland,1,1
Fulham,Arsenal,0,1
Leeds,Everton,0,1
Tottenham,Chelsea,0,0
Newcastle,Middlesboro,2,0
Arsenal,Newcastle,1,0
Aston Villa,Fulham,3,1
Bolton,West Brom,1,1
Chelsea,Birmingham,3,0
Everton,Charlton,1,0
Man City,Man United,3,1
Middlesboro,Liverpool,1,0
Southampton,Blackburn,1,1
Sunderland,Tottenham,2,0
West Ham,Leeds,3,4
Arsenal,Tottenham,3,0
Chelsea,Middlesboro,1,0
Man City,Charlton,0,1
Newcastle,Southampton,2,1
West Brom,Aston Villa,0,0
Birmingham,Fulham,0,0
Blackburn,Everton,0,1
Leeds,Bolton,2,4
Liverpool,Sunderland,0,0
West Ham,Man United,1,1
Aston Villa,West Ham,4,1
Bolton,Chelsea,1,1
Everton,West Brom,1,0
Fulham,Liverpool,3,2
Man United,Newcastle,5,3
Middlesboro,Man City,3,1
Southampton,Arsenal,3,2
Sunderland,Birmingham,0,1
Charlton,Blackburn,3,1
Tottenham,Leeds,2,0
Arsenal,Aston Villa,3,1
Birmingham,Tottenham,1,1
Blackburn,Fulham,2,1
Chelsea,Sunderland,3,0
Man City,Bolton,2,0
West Brom,Middlesboro,1,0
Leeds,Charlton,1,2
Liverpool,Man United,1,2
Newcastle,Everton,2,1
West Ham,Southampton,0,1
Aston Villa,Newcastle,0,1
Bolton,Blackburn,1,1
Charlton,Liverpool,2,0
Everton,Chelsea,1,3
Fulham,Leeds,1,0
Man United,Arsenal,2,0
Middlesboro,West Ham,2,2
Southampton,Birmingham,2,0
Tottenham,West Brom,3,1
Sunderland,Man City,0,3
Aston Villa,West Brom,2,1
Charlton,Man City,2,2
Everton,Blackburn,2,1
Man United,West Ham,3,0
Middlesboro,Chelsea,1,1
Southampton,Newcastle,1,1
Fulham,Birmingham,0,1
Sunderland,Liverpool,2,1
Tottenham,Arsenal,1,1
Bolton,Leeds,0,3
Arsenal,Middlesboro,2,0
Birmingham,Charlton,1,1
Chelsea,Aston Villa,2,0
Leeds,Southampton,1,1
Newcastle,Fulham,2,0
West Brom,Sunderland,2,2
West Ham,Bolton,1,1
Blackburn,Man United,1,0
Liverpool,Everton,0,0
Man City,Tottenham,2,3
Birmingham,Everton,1,1
Bolton,Newcastle,4,3
Chelsea,Southampton,0,0
Liverpool,Blackburn,1,1
Man City,Aston Villa,3,1
Middlesboro,Man United,3,1
Sunderland,Leeds,1,2
Tottenham,Charlton,2,2
West Brom,Arsenal,1,2
West Ham,Fulham,1,1
Aston Villa,Middlesboro,1,0
Blackburn,West Ham,2,2
Charlton,West Brom,1,0
Everton,Bolton,0,0
Fulham,Man City,0,1
Leeds,Chelsea,2,0
Man United,Birmingham,2,0
Southampton,Sunderland,2,1
Arsenal,Liverpool,1,1
Newcastle,Tottenham,2,1
Arsenal,Chelsea,3,2
Aston Villa,Bolton,2,0
Blackburn,Middlesboro,1,0
Everton,Man City,2,2
Leeds,Birmingham,2,0
Man United,Sunderland,2,1
Newcastle,Liverpool,1,0
Southampton,Tottenham,1,0
Bolton,Fulham,0,0
Chelsea,Charlton,4,1
Liverpool,Aston Villa,1,1
Man City,Leeds,2,1
Middlesboro,Southampton,2,2
Sunderland,Blackburn,0,0
West Brom,Man United,1,3
West Ham,Newcastle,2,2
Birmingham,Arsenal,0,4
Tottenham,Everton,4,3
Aston Villa,Tottenham,0,1
Blackburn,Birmingham,1,1
Charlton,Bolton,1,1
Everton,Sunderland,2,1
Leeds,West Brom,0,0
Man United,Chelsea,2,1
Newcastle,Man City,2,0
Southampton,Liverpool,0,1
Arsenal,West Ham,3,1
Fulham,Middlesboro,1,0
Charlton,West Ham,4,2
Newcastle,Bolton,1,0
Bolton,Everton,1,2
Chelsea,Leeds,3,2
Middlesboro,Aston Villa,2,5
Sunderland,Southampton,0,1
Liverpool,Arsenal,2,2
Man City,Fulham,4,1
Tottenham,Newcastle,0,1
West Brom,Charlton,0,1
West Ham,Blackburn,2,1
Arsenal,Fulham,2,1
Bolton,Birmingham,4,2
Chelsea,Tottenham,1,1
Everton,Leeds,2,0
Man City,West Brom,1,2
Southampton,Man United,0,2
Sunderland,Charlton,1,3
Aston Villa,Blackburn,3,0
West Ham,Liverpool,0,3
Birmingham,Man United,0,1
Birmingham,Chelsea,1,3
Blackburn,Southampton,1,0
Charlton,Everton,2,1
Fulham,Aston Villa,2,1
Leeds,West Ham,1,0
Liverpool,Middlesboro,1,1
Tottenham,Sunderland,4,1
West Brom,Bolton,1,1
Man United,Man City,1,1
Newcastle,Arsenal,1,1
Fulham,West Brom,3,0
Bolton,Man United,1,1
Charlton,Aston Villa,3,0
Chelsea,Blackburn,1,2
Everton,Southampton,2,1
Leeds,Newcastle,0,3
Man City,Arsenal,1,5
Sunderland,Middlesboro,1,3
Birmingham,Liverpool,2,1
West Brom,West Ham,1,2
Tottenham,Fulham,1,1
Blackburn,Man City,1,0
Fulham,Sunderland,1,0
Middlesboro,Everton,1,1
Newcastle,Chelsea,2,1
Southampton,West Brom,1,0
West Ham,Tottenham,2,0
Arsenal,Charlton,2,0
Aston Villa,Birmingham,0,2
Man United,Leeds,2,1
Middlesboro,Newcastle,1,0
Liverpool,Bolton,2,0
Aston Villa,Man United,0,1
Blackburn,Arsenal,2,0
Charlton,Newcastle,0,2
Everton,West Ham,0,0
Fulham,Southampton,2,2
Leeds,Middlesboro,2,3
Sunderland,Bolton,0,2
Man City,Birmingham,1,0
Tottenham,Liverpool,2,3
West Brom,Chelsea,0,2
Birmingham,West Brom,1,0
Chelsea,Man City,5,0
Man United,Fulham,3,0
Middlesboro,Charlton,1,1
Newcastle,Blackburn,5,1
Southampton,Aston Villa,2,2
West Ham,Sunderland,2,0
Arsenal,Everton,2,1
Liverpool,Leeds,3,1
Bolton,Tottenham,1,0
Aston Villa,Arsenal,1,1
Bolton,Man City,2,0
Charlton,Leeds,1,6
Man United,Liverpool,4,0
Middlesboro,West Brom,3,0
Southampton,West Ham,1,1
Sunderland,Chelsea,1,2
Tottenham,Birmingham,2,1
Everton,Newcastle,2,1
Fulham,Blackburn,0,4
Birmingham,Sunderland,2,0
Blackburn,Charlton,1,0
Chelsea,Bolton,1,0
Leeds,Tottenham,2,2
Liverpool,Fulham,2,0
Man City,Middlesboro,0,0
Newcastle,Man United,2,6
West Brom,Everton,1,2
West Ham,Aston Villa,2,2
Arsenal,Man United,2,2
Tottenham,Man City,0,2
Aston Villa,Chelsea,2,1
Bolton,West Ham,1,0
Charlton,Birmingham,0,2
Everton,Liverpool,1,2
Fulham,Newcastle,2,1
Man United,Blackburn,3,1
Middlesboro,Arsenal,0,2
Southampton,Leeds,3,2
Sunderland,West Brom,1,2
Birmingham,Southampton,3,2
Blackburn,Bolton,0,0
Chelsea,Everton,4,1
Liverpool,Charlton,2,1
Man City,Sunderland,3,0
Newcastle,Aston Villa,1,1
West Brom,Tottenham,2,3
West Ham,Middlesboro,1,0
Leeds,Fulham,2,0
Birmingham,Middlesboro,3,0
Bolton,Arsenal,2,2
Charlton,Southampton,2,1
Chelsea,Fulham,1,1
Everton,Aston Villa,2,1
Leeds,Blackburn,2,3
Sunderland,Newcastle,0,1
West Brom,Liverpool,0,6
Man City,West Ham,0,1
Tottenham,Man United,0,2
Aston Villa,Sunderland,1,0
Blackburn,West Brom,1,1
Fulham,Everton,2,0
Liverpool,Man City,1,2
Man United,Charlton,4,1
Middlesboro,Tottenham,5,1
Newcastle,Birmingham,1,0
Southampton,Bolton,0,0
West Ham,Chelsea,1,0
Arsenal,Leeds,2,3
Arsenal,Southampton,6,1
Birmingham,West Ham,2,2
Bolton,Middlesboro,2,1
Charlton,Fulham,0,1
Chelsea,Liverpool,2,1
Everton,Man United,1,2
Leeds,Aston Villa,3,1
Man City,Southampton,0,1
Sunderland,Arsenal,0,4
Tottenham,Blackburn,0,4
West Brom,Newcastle,2,2
